rok;incidence;mortalita
1977;11,72;4,83
1978;12,42;6,61
1979;12,25;7,31
1980;12,88;8,31
1981;13,46;8,9
1982;14,28;9,71
1983;14,52;9,9
1984;14,65;9,92
1985;15,45;10
1986;16,26;10,33
1987;16,78;10,94
1988;18,55;11,8
1989;18,4;11,87
1990;17,99;11,95
1991;20,59;13,06
1992;20,58;12,44
1993;21,14;12,37
1994;20,85;12,73
1995;21,98;12,63
1996;22,48;13,1
1997;23,64;13,35
1998;23,47;13,08
1999;23,57;12,98
2000;23,56;13,09
2001;24,78;12,99
2002;25,09;12,92
2003;24,76;12,67
2004;23,76;11,73
2005;23,66;11,77
2006;23,06;11,65
2007;22,33;10,83
2008;22,8;10,91
2009;22,87;10,45
2010;23,29;10,08
2011;22,02;9,29
2012;21,71;9,49
2013;21,3;8,87
2014;22,09;8,54
2015;20,73;8,05
